Old Ticker,New Ticker,Effective Date
FBMS,RNST,04/01/2025
SQY,XYZY,04/01/2025
YY,JOYY,3/31/2025
KRUZ,GOP,3/21/2025
CDXC,NAGE,3/19/2025
AADI,WHWK,3/19/2025
ALVR,KLRS,3/19/2025
PUTW,WTPI,04/04/2025
ICLK,AMBR,3/13/2025
FFIE,FFAI,03/10/2025
FREY,TE,03/03/2025
MPLN,CTEV,2/28/2025
LICY,LICYF,2/27/2025
QRTEA,QVCGA,2/24/2025
HTBI,HTB,2/24/2025
TPX,SGI,2/18/2025
NEP,XIFR,02/03/2025
NETZ,PWRD,02/03/2025
LAAC,LAR,1/27/2025
SQ,XYZ,1/21/2025
CEIX,CNR,1/15/2025
SPI,SPIEF,1/15/2025
ASAI,ASAIY,01/10/2025
HEAR,TBCH,01/07/2025
JBT,JBTM,01/03/2025
VVI,PRSU,01/02/2025
BGNE,ONC,01/02/2025
BSIG,AAMI,01/02/2025
VCAR,TESL,01/02/2025
TTAC,ABFL,12/13/2024
BOWL,LUCK,12/12/2024
AJX,RPT,12/03/2024
CGA,ENFY,11/26/2024
PRMW,PRMB,11/11/2024
LILM,LILMF,11/07/2024
OCUP,IRD,10/24/2024
FANH,AIFU,10/23/2024
IVES,AIVC,10/21/2024
ORAN,ORANY,10/18/2024
SGH,PENG,10/15/2024
RNLX,RNLXY,10/08/2024
AMSWA,LGTY,10/02/2024
CHK,EXE,10/02/2024
EBLU,TBLU,9/30/2024
JEPY,WDTE,9/24/2024
SOI,SEI,09/12/2024
VLD,VLDX,09/11/2024
DRQ,INVX,09/09/2024
BNRE,BNT,09/06/2024
ICD,ICDI,8/29/2024
CPLP,CCEC,8/26/2024
ALLG,ALLGF,8/26/2024
GPS,GAP,8/22/2024
HUGE,QNTM,8/15/2024
CEI,CEIN,08/08/2024
UCBI,UCB,08/06/2024
PNM,TXNM,08/05/2024
SMLP,SMC,08/01/2024
IRBO,ARTY,08/12/2024
FIVG,SIXG,7/22/2024
EURN,CMBT,7/15/2024
PWFL,AIOT,07/01/2024
TNP,TEN,07/01/2024
RBT,RBTC,06/11/2024
OCN,ONIT,06/10/2024
LIFE,ATYR,06/05/2024
BRP,BWIN,5/20/2024
CNHI,CNH,5/20/2024
CPG,VRN,5/15/2024
WISH,LOGC,5/13/2024
ALCC,OKLO,05/10/2024
CONX,CNXX,05/08/2024
CBD,CBDBY,4/19/2024
XLYO,XYLO,4/19/2024
MDGS,XLYO,4/18/2024
SRNEQ,SRNE,4/15/2024
AAU,AAUAF,04/05/2024
CVCY,CWBC,04/01/2024
VPN,DTCR,04/01/2024
FSR,FSRN,3/26/2024
DWAC,DJT,3/26/2024
FLT,CPAY,3/25/2024
PEAK,DOC,03/05/2024
CPSI,TBRG,03/04/2024
TIO,TIOG,03/04/2024
GLDX,USG,03/04/2024
FGH,FGF,03/01/2024
TMST,MTUS,2/27/2024
AMEH,ASTH,2/26/2024
SEAS,PRKS,2/13/2024
NTCO,NTCOY,02/12/2024
